title,director,country,genre,year
Джокер,Тодд Филлипс,США,"психологический триллер, драма",2019
Джей и Молчаливый Боб: Перезагрузка,Кевин Смит,США,комедия,2019
Детские игры,Ларс Клевберг,"США, Канада",,2019
Джей в Голливуде,Джейсон Мьюз,США,"комедия, криминал",2019
Джентльмены,Гай Ричи,"Великобритания, США","боевик, комедия, криминал",2019
День до,"Александр Котт, Владимир Котт, Александр Карпиловский, Борис Хлебников",Россия,"фантастика, драма",2016
Дело Ричарда Джуэлла,Клинт Иствуд,США,"биография, драма",2019
Демон революции,Владимир Хотиненко,Россия,"драматический, исторический",2017
Ребенок из Ада,Лоуренс Риггинс,США,"триллер, драма",2019
Два Папы,Фернанду Мейреллиш,"США, Великобритания, Италия, Аргентина","драма, биографический фильм",2019
Девушка в лабиринте,Донато Карризи,Италия,триллер,2019
Девушка моего брата,"Мония Шокри, [3]",Канада,"драматический фильм, [3], комедийный фильм, комедийная драма",2019
Дело Коллини,Марко Кройцпайнтнер,Германия,драма,2019
Девятая,Николай Хомерики,Россия,фильм ужасов,2019
Девушки бывают разные,Сарик Андреасян,Россия,комедия,2019
Девушка с браслетом,Стефан Демустье,Франция,юридическая драма,2019
Дау,"Илья Хржановский, [1]","Россия, Германия, Франция","[1], биографическая драма",2019
Дальше некуда,Джон Туртурро,США,"криминальная, комедия",2019
Давай разведёмся!,Анна Пармас,Россия,"16+, комедия, (, ),, мелодрама",2019
Гуцулка Ксеня,Елена Демьяненко,Украина,мюзикл,2019
Грязь,Джефф Треймейн,США,"биография, драма",2019
Громкая связь,Алексей Нужный,Россия,комедия,2019
Гроза,Григорий Константинопольский,Россия,"[1], трагикомедия, драма",2019
Дамбо,Тим Бёртон,США,"фэнтези, историческая драма, приключения",2019
Грех,Андрей Кончаловский,"Россия, Италия","историческая, драма",2019
Любовь без размера,Мария Шульгина,Россия,"мелодрама, комедия",2020
Ма Рейни: Мать блюза,Джордж С. Вольф,США,драма,2020
Людвиг ван Бетховен,"Ники Штайн, [de]","Германия, Чехия, [1]","драма, биографический фильм",2020
Любовь. Свадьба. Повтор,"Дин Крейг, [d]","Великобритания, [1]","романтический фильм, [1], комедийный фильм, романтическая комедия",2020
"Любовь, свадьбы и прочие катастрофы",Деннис Дуган,США,,2020
Любовь и монстры,Майкл Мэтьюз,"США, Канада","приключения, фантастика, постапокалиптика",2020
Люди Икс,"Брайан Сингер, Бретт Рэтнер, Гэвин Худ, Мэттью Вон, Джеймс Мэнголд, Тим Миллер, Джош Бун, [d], Дэвид Литч, Саймон Кинберг",США,супергеройский фильм,2000
Лето 85,"Озон, Франсуа",Франция,драма,2020
Ловец снов,Керри Харрис,США,ужасы,2020
Любовники,Николь Гарсиа,Франция,"[d], фильм-триллер",2020
