title,director,country,genre,year
Маленький пакет любви,Гастон Солники,"Аргентина, Австрия",драма,2022
Любовь как бестселлер,Эналин Каль-и-Майор,"Мексика, Великобритания",романтическая комедия,2022
М3ГАН,Джерард Джонстоун,"США, [3]","фильм ужасов, научно-фантастический",2022
"Манцикерт, 1071-й","Озгюр Бакар, Билал Калёнку",Турция,"боевик, исторический фильм",2022
Марлоу,"Нил Джордан, [1]","США, [4], Испания, [3], Франция, [3], Ирландия, [4], [3]","триллер, нуар",2022
Лучший,Майкл Грейси,Великобритания,"биография, драма",2022
Лулу и Бриггс,Ченнинг Татум,США,"роуд-муви, комедийная драма",2022
Любовь для взрослых,"Барбара Топсеэ-Ротенборг, [da]",Дания,"триллер, драма",2022
Невидимая красота,"Бетанн Хардисон, ru, Фредерик Тшенг, ru",,документальный фильм,2023
Любовь искупительная,Ди Джей Карузо,США,"[d], романтический фильм",2022
Лучшие в аду,Андрей Батов,Россия,"военный, боевик",2022
Лицо памяти,Доминик Граф,Германия,драма,2021
Незваные,Джон Райт,"Ирландия, Великобритания",фолк-хоррор,2023
Наследие,Роман Михайлов,Россия,"[1], социально-метареалистическая, драма",2023
Наполеон,Ридли Скотт,"США, Великобритания","эпическая, историческая драма",2023
Нападение на Рио Браво,Джо Корнет,"США,Россия",вестерн,2023
Нандор Фодор и говорящий мангуст,"Adam Sigal, [d]",Великобритания,,2023
"На солнце, вдоль рядов кукурузы",Сарик Андреасян,Россия,драма,2023
На земле святых и грешников,Роберт Лоренц,"США, Ирландия, [3]",фильм-триллер,2023
Мятежная Луна — Часть первая: Дитя огня,Зак Снайдер,США,"эпическая, космическая опера",2023
На Адаманте,Николас Филибер,"Франция, [2], Япония, [2]",документальный фильм,2023
Мэгги Мур(ы),Джон Слэттери,США,"[d], криминальный фильм",2023
Мятежная луна,Зак Снайдер,США,фантастика,2023
Музыка,"Ангела Шанелек, [7], [5]","Германия, [7], [5], Франция, Сербия","[5], драматический фильм, [6]",2023
Моя пиратская свадьба,"Джейсон Мур, [d]",США,"комедийный боевик, романтический фильм, боевик, романтическая комедия",2023
Монстр,Хирокадзу Корээда,Япония,драма,2023
Могучие Рейнджеры: Однажды и навсегда,Чарли Хэскелл,США,"фантастика, приключение",2023
Миссия невыполнима: Смертельная расплата,Кристофер Маккуорри,США,"боевик, шпионский",2023
Молоко матери,"Инара Колмане, [d]",Латвия,,2023
Мой Хатико,Сюй Ан,Китай,драма,2023
Моё преступление,Франсуа Озон,Франция,"[1], [d], комедийная драма",2023
Миссия Ассасина,Джесси Атлас,США,"триллер, боевик, криминал",2023
Микулай,,Россия,"фильм-триллер, драматический фильм",2023
Мизантроп,Дамиан Сифрон,США,"[2], [3], […], [5], фильм-триллер, [4], [d], боевик",2023
Маэстро,Брэдли Купер,США,биографический фильм,2023
Место преступления: Азра,"Доминик Хартль, [d]","Австрия, Германия",криминальный фильм,2023
Мертвецам не больно,Вигго Мортенсен,США,,2023
Мёртвый сезон,Стефан Бризе,Франция,драматический фильм,2023
Мег 2: Бездна,Бен Уитли,"США, Китай","боевик, научно-фантастический",2023
